Station,Name,Latitude,Longitude,Trips Started,Trips Ended,Total Trips
519,Beaudet / Marcel-Laurin,45.506843,-73.681757,723.0,652,1743.0
520,Métro du Collège (Cartier / Décarie),45.508439,-73.672965,2507.0,2433,5309.0
521,Thimens / Alexis-Nihon,45.508978,-73.698564,936.0,1015,2321.0
522,de l'Eglise / St-Germain,45.512559,-73.677011,1988.0,1881,4240.0
523,Ste-Croix / Tassé,45.519492,-73.685104,689.0,724,1785.0
524,O'Brien / Poirier,45.52246,-73.691564,1051.0,1076,2500.0
525,Casino de Montréal,45.506373,-73.524577,2070.0,2176,4620.0
527,Métro Longueuil - Université de Sherbrooke,45.523319,-73.520127,2920.0,3560,6856.0
528,Place Longueuil,45.52841,-73.517166,488.0,548,1413.0
529,St-Charles / Montarville,45.533682,-73.515261,408.0,462,1248.0
530,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.537226,-73.495067,773.0,955,2107.0
531,St-Charles / Grant,45.539824,-73.508752,584.0,625,1589.0
532,Marché Atwater,45.480208,-73.577599,17797.0,23187,41365.0
533,Atwater / Greene,45.480495,-73.577827,6433.0,11184,17999.0
537,Villeneuve / St-Laurent,45.521342,-73.589419,14548.0,11823,26754.0
538,Dollard / Van Horne,45.519153,-73.616469,8894.0,8761,18039.0
540,Parc Beaubien (Stuart / St-Viateur),45.516079,-73.607798,2919.0,2693,5997.0
541,Parc Outremont (Bloomfield / Elmwood),45.518309,-73.603286,4157.0,3854,8397.0
542,Parc Joyce (Rockland / Lajoie),45.515617,-73.614991,2948.0,2622,5957.0
543,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,3555.0,2504,6447.0
544,Bloomfield / Bernard,45.520688,-73.608428,14215.0,13844,28448.0
546,Bloomfield / Van Horne,45.522586,-73.612658,6772.0,6363,13525.0
548,Waverly / St-Zotique,45.530505,-73.614708,5101.0,5001,10494.0
549,du Mont-Royal / Augustin-Frigon,45.543763,-73.56772,6476.0,6304,13173.0
550,Drolet / Beaubien,45.533348,-73.605834,8403.0,6775,15572.0
551,Métro Beaubien (de Chateaubriand / Beaubien),45.53536,-73.603635,18183.0,16200,34778.0
552,de Bellechasse / de St-Vallier,45.53341,-73.601124,8925.0,8640,17961.0
553,Boyer / Beaubien,45.537041,-73.602026,17724.0,16445,34566.0
554,Chambord / Beaubien,45.539932,-73.599343,7104.0,6742,14244.0
555,Centre ÉPIC (St-Zotique / 40e avenue),45.574147,-73.574621,4241.0,4222,8862.0
556,Chabot / Beaubien,45.544376,-73.595645,7988.0,7639,16027.0
557,Louis-Hébert / de Bellechasse,45.546661,-73.588684,6133.0,5516,12050.0
558,Molson / Beaubien,45.549686,-73.591155,7998.0,7615,16015.0
559,Beaubien / 8e avenue,45.553457,-73.587842,7082.0,6881,14366.0
560,16e avenue / Beaubien,45.558281,-73.583159,5635.0,5403,11442.0
561,29e avenue / St-Zotique,45.567766,-73.579688,4194.0,4161,8760.0
562,de la Roche /  de Bellechasse,45.537159,-73.597476,9196.0,8982,18584.0
563,Chabot / de Bellechasse,45.54257,-73.592144,7432.0,7225,15064.0
564,Louis-Hébert / Beaubien,45.548186,-73.59201,9501.0,9336,19245.0
565,Alexandra / Jean-Talon,45.532331,-73.620187,5644.0,5658,11711.0
566,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.536785,-73.614888,13413.0,13133,26956.0
567,Bélanger / St-Denis,45.53696,-73.61199,14256.0,13523,28190.0
568,de la Roche / Bélanger,45.54167,-73.607604,8924.0,8227,17563.0
569,Boyer / Bélanger,45.54006,-73.60897,11985.0,10931,23329.0
570,de Lanaudière / Bélanger,45.543651,-73.60565,7630.0,7181,15225.0
571,Cartier / Bélanger,45.546797,-73.602664,5894.0,5369,11678.0
572,des Érables / Bélanger,45.549121,-73.600874,3078.0,2987,6481.0
573,Parc Père-Marquette (Chambord / Rosemont),45.537088,-73.593219,16706.0,13829,30952.0
574,Boyer / Jean-Talon,45.541586,-73.612481,9104.0,8289,17811.0
575,Louis-Hémon / Rosemont,45.544599,-73.588223,7667.0,7414,15500.0
576,1ère avenue / Rosemont,45.5478,-73.584867,6448.0,6132,13000.0
577,5e avenue / Rosemont,45.5499,-73.583084,4771.0,4047,9239.0
578,Marquette / des Carrières,45.538799,-73.5887,7359.0,6243,14024.0
580,Cartier / Dandurand,45.539236,-73.585946,7411.0,6776,14611.0
581,de Gaspé / Marmier,45.529686,-73.601728,3410.0,3470,7305.0
582,Fabre / St-Zotique,45.543452,-73.60101,6824.0,6397,13647.0
583,de Bordeaux / St-Zotique,45.546539,-73.598665,5565.0,5049,11041.0
584,Marmier / St-Denis,45.530871,-73.598345,12431.0,10094,22953.0
585,Louis-Hébert / St-Zotique,45.55001,-73.59576,3707.0,3502,7638.0
586,Fabre / Beaubien,45.54206,-73.597873,6333.0,5209,11972.0
588,Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564,3706.0,3612,7749.0
589,St-Dominique / St-Zotique,45.532265,-73.611063,17477.0,15828,33737.0
590,de Gaspé / Dante,45.534298,-73.612172,5912.0,5293,11638.0
591,Mozart / St-Laurent,45.53318,-73.61544,7534.0,7301,15269.0
592,Boyer / St-Zotique,45.53848,-73.60556,13716.0,13154,27305.0
593,de St-Vallier / St-Zotique,45.536261,-73.607546,7363.0,6692,14491.0
594,Drolet / St-Zotique,45.534882,-73.609412,7722.0,6772,14931.0
595,28e avenue / Rosemont,45.564353,-73.571244,3966.0,3492,7896.0
596,Casgrain / Mozart,45.534727,-73.614793,10361.0,10463,21263.0
597,12e avenue / St-Zotique,45.556867,-73.589307,4551.0,3974,8965.0
598,1ère  avenue / St-Zotique,45.551937,-73.593928,4131.0,3958,8530.0
600,Jardin Botanique (Pie-IX / Sherbrooke),45.554947,-73.555295,16360.0,16144,32946.0
601,18e avenue / Rosemont,45.557896,-73.576529,7108.0,5889,13440.0
602,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562,5265.0,5424,11133.0
604,35e avenue / Beaubien,45.570081,-73.573047,3211.0,2798,6454.0
606,de Chambly / Rachel,45.549911,-73.558263,6803.0,5743,12992.0
607,10e avenue / Masson,45.550306,-73.573353,13606.0,13613,27666.0
608,d'Orléans / Masson,45.557192,-73.569847,7682.0,7418,15548.0
610,1ère avenue / Masson,45.5452,-73.576451,9772.0,10378,20599.0
611,15e avenue / Masson,45.553898,-73.571387,8809.0,8241,17500.0
613,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916,5027.0,4493,9971.0
614,Omer-Lavallée / du Midway,45.545776,-73.562175,7450.0,7002,14904.0
616,Cartier / Rosemont,45.541247,-73.591044,6343.0,5517,12313.0
619,St-Urbain / Beaubien,45.52951,-73.61068,7565.0,7548,15567.0
620,Ernest-Gendreau / du Mont-Royal,45.549714,-73.563848,3761.0,3227,7443.0
622,Place Émilie-Gamelin (St-Hubert / de Maisonneuve),45.515901,-73.559948,10669.0,13407,24532.0
623,de Maisonneuve / Mansfield (nord),45.502311000000006,-73.5733635,8702.0,9591,18750.0
624,St-Jacques / McGill,45.501441,-73.560144,4651.0,5749,10858.0
625,St-Urbain / René-Lévesque,45.507838,-73.563136,6199.0,9090,15748.0
626,de Maisonneuve / Mansfield (sud),45.502145,-73.57342700000001,14883.0,16228,31571.0
627,Durocher / Bernard,45.522225,-73.606687,6574.0,6045,13080.0
628,La Ronde,45.521565,-73.535332,2908.0,3502,6872.0
629,Aylmer / Sherbrooke,45.506587,-73.573299,7919.0,6327,14709.0
630,Querbes / Laurier,45.51754,-73.597832,8842.0,8354,17660.0
631,26e avenue / Beaubien,45.564944,-73.577639,4597.0,4374,9436.0
633,Jogues / Allard,45.45002,-73.600306,2588.0,2669,5723.0
635,19e avenue / St-Zotique,45.561594,-73.585643,6219.0,5605,12291.0
636,de Maisonneuve / Greene,45.486971,-73.589293,11941.0,11478,23887.0
637,Hillside / Ste-Catherine,45.482826,-73.590843,5490.0,5326,11285.0
638,Victoria / de Maisonneuve,45.477429,-73.600169,8700.0,8609,17779.0
639,Victoria Hall,45.481291,-73.60033,6831.0,6706,14008.0
641,2e avenue / Jean-Rivard,45.562509,-73.61656,2011.0,2019,4502.0
642,Henri-Julien / de Castelnau,45.537891,-73.618215,7803.0,7479,15755.0
644,Chambord / Jean-Talon,45.544846,-73.610536,4800.0,4661,9935.0
645,Louis-Hébert / Bélanger,45.551585,-73.599165,4026.0,3893,8394.0
646,Gary-Carter / St-Laurent,45.5359,-73.622443,15566.0,14672,30714.0
647,St-Dominique / Gounod,45.538738,-73.628022,5136.0,4999,10612.0
648,Guizot / St-Laurent,45.539663,-73.634475,196.0,198,872.0
